"Condition","Duration.of.Fixation","Horizontal.Dispersion","Vertical.Dispersion","Velocity.Horizontal","Velocity.Vertical"
0,2.84221665274301,0.46658732851522,0.28387493449819,-0.015501291746952,0.16533297798493
1,-12.8125011914066,-0.998692060083043,-0.267103117310052,0.0586036051146848,0.0827980284311037
0,-21.0982979537196,-0.00246057524496301,0.296976481485224,-0.0097793040700947,-0.0518198785372761
1,-3.7191683476985,-0.033279553703443,0.026606736665986,0.0399565671057829,-0.0802116494131623
1,-1.0319214876033,0.147546844384854,0.038909416808494,-0.106243916816208,-0.0239118549790002
0,3.00605435702199,-0.0454117672358689,-0.00722863987356004,-0.127435629017111,0.323950780500438
1,1.9804694624893,-0.011197340152812,-0.046420227539867,0.0918559282254372,-0.0399967707925385
1,4.9196296296296,0.022574278654257,-0.00336614928982804,-0.178913686369161,0.126500903026638
1,0.302222222222206,-0.029061472740129,0.039941055033093,-0.015082807684714,0.0193006283272205
0,-1.8614071146245,-0.020580296364893,0.019188149910969,0.284102251094405,-0.300396012468857
1,5.6612294976107,0.00272223845500502,-0.068535828054902,0.012544572523603,-0.0102070756962937
0,-11.6615841192377,-0.37125316359411,-0.23611689465524,-0.276865628593545,0.0820649208993883
1,3.2176273807723,0.111852465284389,0.080948226235509,-0.010727513451917,0.0130806673489165
1,2.6465093411996,0.04212144567732,-0.0460610095024669,-0.0797998289440061,0.0204015255597591
0,-2.5246569033803,-0.108192616180277,-0.56605748397334,-0.0458071138302555,0.032364461544346
1,8.1745815688647,0.023588598654582,0.030070839978171,-0.0337986927850196,0.0599064515872934
0,15.2124099842979,0.0986841821115,-0.035382549496368,0.028827993656931,-0.0881000805262436
0,4.9165024630542,-0.012235237390199,0.0732614166147321,0.050002056560507,0.010054716802258
0,2.5840035687576,0.02822034352222,-0.00550465246284698,0.0659863769919613,-0.0354945354085232
1,-2.3157390471213,-0.00887792577048196,0.019474319904263,-0.0071674226230425,0.00824910786798592
1,5.102658864593,-0.200582884387101,0.00875368974448903,0.0857186240684338,-0.062669191600199
1,-7.9130158730159,0.10206021343746,0.0563925687662311,-0.0488148450291529,-0.136042389297454
1,-11.9177197802198,-0.520024657642084,-0.198885390520649,0.577187090629832,0.0527423466962687
1,9.0844687170643,0.012818239333618,-0.00558289044162696,-0.0867393817672441,-0.07104529232184
1,3.9581539401683,0.026465212230346,-0.0539782303151981,-0.127499515334842,0.0383364763779026
1,0.710684506496094,0.030769837589514,-0.010988248124402,0.112068263436523,-0.110459661116069
0,7.4916387959867,0.06664446573613,0.060793911863907,0.032567743784295,0.0248422418636718
1,-1.1392783413756,0.000296298455790989,0.013125232512369,-0.0138832447083646,-0.0026277518116517
0,10.5820512820509,-0.0383471553532611,0.230365068832576,0.118302952478322,-0.0835410331622173
0,-0.3818526170799,0.072878404663146,-0.0902876066021649,0.0140069718776219,0.023392169484434
1,0.468129767415697,0.00461698191138005,0.081406222505673,-0.169518832488443,0.165899667110604
1,-1.4929356137668,-0.02238683568857,0.029492710446584,0.042053675215245,0.000426336345172008
1,-2.3751351351351,0.011384594594411,0.046195179693991,-0.0484544476502206,0.0503334381243239
1,-5.9610002016535,-0.015665404824717,-0.03176654116537,-0.061787560373828,0.0140404847513611
0,-17.039597188812,0.100459781102687,-0.00972138543664292,-0.0678067537284462,-0.065316590075287
0,24.8573754620666,-0.207627957098557,-0.210474421705285,-0.281059420416825,0.197771611118155
1,0.813406170549001,-0.099927123664041,-0.074005619154114,0.0281587488064955,-0.0359376966770822
0,-0.917795691640706,-0.143473257696006,0.068919569265677,-0.114758175662194,0.0153961595914545
0,-9.65119047619039,-0.035049640510329,-0.022112035532488,-0.0184076427553922,0.0566278263117186
0,-3.6105226534719,0.0941098929909699,-0.078800151889482,-0.331282522193698,0.155024916440131
0,-10.0004660411359,0.023339240061644,0.055260362058695,-0.100312668151828,-0.010852063203166
0,11.1179652652558,-0.05610490657772,-0.00150166496457399,-0.00866461664420798,0.016986227147976
0,0.374736842105307,-0.050393855815266,0.070558297982434,0.026969108461772,-0.000109232312790003
0,4.4826826826827,-0.261497569736959,-0.222279166688372,0.0345008139351584,0.010356613254731
0,9.0229955187141,-0.092299354905529,-0.096017338938091,-0.0989207165723188,0.125959380561669
0,6.27598160594269,-0.028395418209848,0.0096653993777589,0.0179442836596173,0.0593933178034161
0,-19.1862677274302,-0.021582564787135,-0.325427800664928,-0.366084640266634,0.068566975639839
0,7.7364232209738,0.00784997957809502,-0.00872076086026202,0.0230418134530077,-0.000184832240671007
0,14.4405831363278,-0.160023283391704,-0.167514438315389,0.0515474906771948,-0.0186581755414256
1,-4.3400988810825,-0.183124561401503,-0.170563411070315,0.170167323219004,0.0304919731502505
0,-0.834964055803198,-0.050991579229587,-0.038009674057854,0.0311635015913041,0.0050073264703691
0,7.19505451384279,-0.08237832488203,-0.217604297410773,0.035448203613776,0.0810555208537106
1,-5.6511219895224,0.016604471478065,-0.016276543885256,-0.0397003091868151,0.11853280445845
0,-0.244,-0.00140823660214595,-0.00587966687282893,0.116169767577106,-0.012928681904033
0,16.664156830824,0.055737158450449,0.003267801451592,0.121176332346569,-0.0829732939723309
0,14.6309808839737,-0.092273232667552,-0.096495096290629,0.0064274278394862,-0.119651461545441
0,7.4729786342686,-0.015120371995124,-0.108537042040887,0.025348687188742,-0.0400816541179728
1,-0.416069437808602,-0.0223051587423769,-0.019531052443175,-0.0308779477387963,0.031280501796723
1,0.861133858267699,-0.045750764277732,-0.054662143487255,0.0462758606560852,-0.109559595955345
0,5.7465420758103,-0.064661434639834,-0.020345495367151,0.102282449683063,-0.252742311875332
1,2.1139116873297,0.010025017508062,-0.026226895536854,0.0186290814335362,0.0069176753941518
0,8.5256292906178,0.00943872922227301,-0.092351692430485,0.0394242687911425,0.0688701412497215
0,-9.58642035013101,-0.05909031882397,-0.033694360935418,0.016409304279708,0.0359218083250209
0,-5.6155709554765,-0.027195670860987,0.03395539141777,-0.00685073840202429,-0.035722116245982
1,4.1675981605942,-0.038180914055837,-0.076826571584718,0.0038881591478955,0.054602838038319
0,-6.3389705882353,-0.049773131114728,-0.130049039234079,0.158566570875111,-0.00758313670966861
1,-7.40983041865391,0.001075611567663,0.050495999299637,0.092267223393885,-0.119782033151012
1,-7.9582929543089,0.011252634403353,-0.00888566565083804,-0.029254775370684,-0.0212324989039209
1,1.1033588836792,-0.048266123453184,0.016409512814468,0.0816344111584242,0.0381445880538225
0,19.900620750813,-0.0527107963417499,-0.043635919677429,0.476201311770064,-0.257908855569084
1,-3.24586697424071,-0.052121654751979,-0.107349310898094,-0.0594418092552198,0.0546526888365187
0,16.5931987066765,-0.00158748890820598,-0.0227216863934461,0.361385836367702,-0.17747786685249
1,2.2712255444813,0.00434483369317601,-0.0377232590796721,0.034100025639299,0.0107186410691148
0,11.2676821405545,-0.036652461728556,-0.134979883066607,-0.016439990724084,0.125027276859257
1,4.5228080667132,0.078580140019038,-0.038210591878291,0.095548351397268,0.0918226532269616
0,16.236900906329,0.066950803427845,0.068047388395103,-0.264557043231085,0.256674407821142
0,-29.633167601114,-1.31687790182103,-0.98808870906161,-0.132815037188373,-0.117377866526435
0,-2.2104590163934,0.116747806331251,0.0268042377208579,0.39446044062503,-0.229579684363697
1,8.2855233179895,-0.057595390757215,0.00294141561247097,0.0059827603720134,-0.145454478427832
0,22.806609632954,0.055570267145431,0.00751140925656296,-0.116653804943128,0.0903197101267793
0,-8.100225225225,-0.129384724139862,-0.089145600913072,-0.154046730483148,0.147615097953501
0,8.6866769349249,0.021882444128069,-0.040687229980862,-0.0159037969595043,-0.059556827621184
1,4.5997047467636,0.030291484587152,0.018066172587634,0.0389920994494029,0.0880390985318773
1,3.6615194723376,-0.0443316196128,0.011845868389083,0.142784471380688,-0.0777688364233443
0,0.5,-0.043141504143453,0.050053003968334,-0.0106527596156467,0.0246917803976007
0,-0.806497330834802,-0.852756532058664,-0.493389825520337,-0.027350800411782,0.037769349880132
1,0.0473988938817982,-0.00649256218656302,-0.018243521782338,-0.041008538479639,-0.0629128409371964
1,-5.443907014921,-0.077972844272084,-0.070807708554445,-0.0220229652989604,-0.0894214275453135
1,-3.1008504993758,0.00190942820141698,-0.01111386360855,-0.0849751895943558,0.055396210678992
1,2.1860212311945,0.027195053970662,-0.00310427277415398,0.0087666492917923,-0.0663580286794939
0,6.52357861247999,0.235142507454708,0.0831877394854661,0.207478958871555,-0.22713183490535
1,1.2266068253027,-0.039008004085689,-0.0976210142844,-0.235284914441243,-0.130344480271612
0,12.9737903225806,-0.110201050979725,-0.105458812198581,0.0303138411086557,-0.0545916981439191
0,40.6285369220156,0.016082371171343,0.010584066558372,0.129067280176304,-0.0425590909578871
0,-10.4345596038203,-0.162407777317,-0.539685263389809,-0.241012822446563,-0.0257754080951376
1,5.2437047914287,0.084614668142021,0.014449231664719,-0.025336667004543,-0.0249409751649992
1,2.2712303422756,0.04760902945424,-0.00780971963804,0.277967391877941,0.267071255504965
0,30.927168234065,0.228219652870137,0.433229658925254,0.476913525026821,-0.0796859595266748
1,4.4972293265132,-0.017272778975192,-0.054014115629982,-0.0171516612730943,-0.0220677052978776
0,-0.136630895771702,0.023836079873826,0.0304534583976379,0.116425692384929,-0.175521995481604
0,20.2076254826254,-0.00177474018189394,0.38681555340103,0.129747065430805,-0.16230709121964
1,-1.1783214598175,-0.02056564512852,0.027931850782863,-0.0858270742375665,0.003910859837225
0,6.7725098994822,-0.026941643525376,-0.027831524423383,0.0020994513192273,-0.101480608598268
1,-0.839506172839499,0.031632144402487,0.169902180015076,0.0169863156902547,0.0818817670201957
