"Fixation.Per.Trial","Duration.of.Fixation","Horizontal.Dispersion","Vertical.Dispersion","Velocity.Horizontal","Velocity.Vertical","Condition"
-98.9950980392157,15.2704886916729,0.347209637678217,0.0138673808172043,-0.579551802071188,-0.0860393094884135,1
-88.9950980392157,65.9682828093199,0.169920850457119,0.144150224083274,0.0457057226514545,0.0621731376691068,0
-76.9950980392157,58.4626590213428,0.223128026080395,0.223837103532274,0.032725846438994,-0.193825087120908,0
-73.9950980392157,3.74379950248365,0.0500792634688096,-0.0231448313801697,-0.212558665919491,0.128751604681146,1
-70.9950980392157,53.1010737980559,-0.0619235957662264,-0.1486342045285,0.134962708990686,-0.0126260645708646,0
-69.9950980392157,2.50335906204324,-0.0931165450896064,-0.181046181827027,-0.0345244117361146,-0.115533883672934,1
-69.9950980392157,50.7361632948479,0.116779756915546,0.370880850436498,-0.0382472852459933,0.0790395787600034,0
-67.9950980392157,1.79267455554715,-0.12388638267912,-0.170057933702625,-0.146592675172637,-0.0050742225568641,1
-61.9950980392157,45.9908567119779,1.04089438880823,0.783920336509543,0.171644776464948,-0.133725800456856,0
-57.9950980392157,44.8991578459019,0.205300953989014,0.0735122730585863,-0.0106154855655586,-0.228509802368931,0
-45.9950980392157,37.4522375179639,-0.0432257517181414,-0.117954768558024,0.0260581620428501,-0.125786808317327,0
-44.9950980392157,-8.93710476627105,-0.15657887850615,-0.26178811883236,0.0652100805121709,-0.179215835141557,1
-43.9950980392157,36.2213607846958,-0.0907880774107274,-0.0512838059140127,0.148029544602901,-0.119770365355534,0
-41.9950980392157,-13.2587163774515,0.254638626154015,-0.00403652959214962,0.0728592686469663,-0.0182292232152719,1
-41.9950980392157,35.4371361571109,0.704151716251783,0.457194678194723,-0.260718046837538,0.123171211037802,0
-39.9950980392157,33.0370982807138,-0.00219250833090234,0.0675662534708213,0.147911763453873,-0.022762401417943,0
-37.9950980392157,34.0243914066048,0.14239035375798,0.148367320377872,0.0659705368743791,-0.0995417595294055,0
-36.9950980392157,31.6780337367179,0.209141666524134,0.0455979793556663,0.0994555405470546,0.0332145239887321,0
-33.9950980392157,-10.1603446416605,-0.113074480699381,-0.0914318436442307,0.043966944399011,0.054302901538177,1
-29.9950980392157,-11.7098060681525,-0.0437559759695124,-0.226681302584493,0.00959223140645134,0.0201774420222794,1
-28.9950980392157,-10.7974460909358,-0.115075183313378,-0.225218360526677,-0.217953398916256,0.078784634912182,1
-27.9950980392157,-13.1700416113574,-0.19741837631759,0.0218424829073943,-0.151410969912944,-0.056380043318098,1
-26.9950980392157,26.0209197261557,-0.0163990373521684,0.13244149144848,-0.131010294520232,0.218640630807945,0
-26.9950980392157,27.9088507606383,0.104083378099792,0.151206598286233,-0.215876193846341,0.0301806758975513,0
-25.9950980392157,-13.5022044413744,-0.151678562939265,-0.254797090604358,0.17767454757039,-0.0103412673289899,1
-24.9950980392157,-12.9781224194383,0.758509020217413,0.0119160059798523,-0.509456638067678,-0.0686679666828515,1
-24.9950980392157,-12.2473531886691,-0.159256528545172,-0.206390636676955,0.098097980120437,-0.132010048448405,1
-24.9950980392157,25.184270742955,0.0300356081663576,0.17486904105795,0.00604644554134487,0.0323813001728957,0
-23.9950980392157,-12.1223304572634,-0.0673967348142643,-0.10388446853747,-0.240903096017408,-0.0354203843760603,1
-20.9950980392157,-12.81659114026,-0.178731953174275,-0.244896473469665,-0.0574166384900509,-0.0131481981799922,1
-18.9950980392157,-17.1420113083271,-0.246060414389558,-0.280842011038317,-0.049076176126219,-0.0290190590533807,1
-18.9950980392157,23.4496553583396,-0.0156616194331763,0.108190846636452,0.129160670510222,0.0444801266923019,0
-17.9950980392157,-15.9873432585347,-0.17035811498611,-0.269237263912711,0.134623468059066,-0.0051619436550444,1
-17.9950980392157,-14.7757250012733,-0.101733583678072,-0.187091364242294,0.0599447080520547,-0.0704613065247705,1
-17.9950980392157,24.4815364095151,0.00140831063009761,0.190371883440243,0.0466363856694963,-0.112708716619163,0
-15.9950980392157,-18.4719495799321,-0.108902129600278,-0.0827785911613856,-0.0194513033068137,0.0383958286901609,1
-14.9950980392157,-16.4038965542288,0.183722064380681,0.0456094931505874,-0.172692995950344,-0.0251818012916068,1
-14.9950980392157,-14.4735686853763,-0.0901885346016904,-0.246120743054016,0.117708530429611,-0.173492978227122,1
-14.9950980392157,22.1288903310171,0.0571793981323496,0.0268694642093633,0.109799582298949,0.0030607658112745,0
-14.9950980392157,23.7354477080662,-0.00551180607028734,0.145889177578687,-0.267924616202082,0.230573107644481,0
-13.9950980392157,-17.054766410368,-0.189081653981795,-0.128312566611327,0.0540221143153121,0.0237976830223581,1
-12.9950980392157,-15.5540031782458,-0.00956187714293033,-0.00976165139075869,-0.0539876699005329,0.0030446687457807,1
-12.9950980392157,20.275265114437,0.246826209452173,0.282286688865763,-0.0542847731076867,0.0304445270630945,0
-11.9950980392157,-18.0087117131854,-0.235948686808843,-0.165851757812536,-0.0108975219990111,0.0044976624443033,1
-8.99509803921569,-17.7150113083271,-0.202043600494239,-0.248763823548745,0.121108771843448,-0.0674535443782065,1
-7.99509803921569,-16.9905172844228,-0.0851496661639704,-0.184163728011821,-0.0742498373178855,-0.0377150471938868,1
-6.99509803921569,-20.4463763876922,-0.175260413423708,0.0525756959828674,0.0911179181219954,-0.215722070877135,1
-6.99509803921569,-17.3114557527716,-0.0726451160396154,-0.0261216940136266,-0.0479192481670215,-0.0334839906877901,1
-6.99509803921569,-17.1328843242001,0.0950678357458706,-0.100866192750728,-0.805097601202579,-0.0379375852653966,1
-5.99509803921569,-19.1120705968646,-0.187682563355659,-0.182261270627004,-0.0925319331574353,-0.0336469256095192,1
-5.99509803921569,-18.7326239565485,-0.0371694092509534,-0.191106642542945,-0.0459974547856556,0.02650476089499,1
-5.99509803921569,19.725874067167,0.0080590522076126,0.130019529450732,0.0463046219343942,-0.0928664433864165,0
-4.99509803921569,-19.3985073713192,-0.0948554058291644,-0.199249217539567,-0.0985810146991693,0.0141475435000762,1
-4.99509803921569,-19.2843341429729,-0.191437808943132,-0.113601309679226,-0.239840385380913,-0.146382379170938,1
-4.99509803921569,-17.6347278437603,-0.127861868437473,-0.208909598196989,-0.0742729366248057,-0.126099279000073,1
-3.99509803921569,-18.3493642495037,-0.0772644718547714,-0.173133322355642,0.0415950802712681,0.071454462889933,1
-3.99509803921569,-18.3493642495037,0.0688261457202857,-0.0632165588581787,-0.262283185057121,-0.0439823427271723,1
-1.99509803921569,-18.7891902966539,-0.247895232499902,-0.324497453980017,0.152643157323536,-0.0134441520536563,1
